Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
BMP5		ENSG00000112175	Bone morphogenetic protein 5	P22003	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
BMP6	VGR, VGR1	ENSG00000153162	Bone morphogenetic protein 6	P22004	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BMP7	OP-1	ENSG00000101144	Bone morphogenetic protein 7	P18075	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BMP8A		ENSG00000183682	Bone morphogenetic protein 8a	Q7Z5Y6	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
BMP8B	BMP8, OP-2	ENSG00000116985	Bone morphogenetic protein 8b	P34820	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
BMPER	CRIM3, Cv2	ENSG00000164619	BMP binding endothelial regulator	Q8N8U9	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BPI	BPIFD1	ENSG00000101425	Bactericidal/permeability-increasing protein	P17213	Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
BPIFA1	bA49G10.5, LUNX, PLUNC, SPLUNC1	ENSG00000198183	BPI fold containing family A member 1	Q9NP55	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BPIFA2	bA49G10.1, C20orf70, PSP, SPLUNC2	ENSG00000131050	BPI fold containing family A member 2	Q96DR5	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BPIFA3	bA49G10.4, C20orf71, SPLUNC3	ENSG00000131059	BPI fold containing family A member 3	Q9BQP9	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
BPIFB1	bA49G10.6, C20orf114, dJ1187J4.1, LPLUNC1, MGC14597, VEMSGP	ENSG00000125999	BPI fold containing family B member 1	Q8TDL5	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BPIFB4	C20orf186, dJ726C3.5, LPLUNC4	ENSG00000186191	BPI fold containing family B member 4	P59827	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
BPIFC	BPIL2, dJ149A16.7	ENSG00000184459	BPI fold containing family C	Q8NFQ6	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
BRINP2	DBCCR1L2, FAM5B	ENSG00000198797	BMP/retinoic acid inducible neural specific 2	Q9C0B6	Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
BRINP3	DBCCR1L, DBCCR1L1, FAM5C	ENSG00000162670	BMP/retinoic acid inducible neural specific 3	Q76B58	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BSPH1	BSP1, ELSPBP2	ENSG00000188334	Binder of sperm protein homolog 1	Q075Z2	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
BTBD17	BTBD17A, LGALS3BPL, TANGO10A	ENSG00000204347	BTB domain containing 17	A6NE02	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence
BTC		ENSG00000174808	Betacellulin	P35070	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BTD		ENSG00000169814	Biotinidase	P43251	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
BTN1A1	BT, BTN, BTN1	ENSG00000124557	Butyrophilin subfamily 1 member A1	Q13410	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
BX248415.1		ENSG00000276911			Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
C10orf95	FLJ14280	ENSG00000120055	Chromosome 10 open reading frame 95		Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
C10orf99	AP-57, CSBF, FLJ21763, RLLV1833, UNQ1833	ENSG00000188373	Chromosome 10 open reading frame 99	Q6UWK7	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C11orf45	FLJ43646, MGC35558	ENSG00000174370	Chromosome 11 open reading frame 45	Q8TAV5	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
C11orf94		ENSG00000234776	Chromosome 11 open reading frame 94	C9JXX5	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
C12orf49	FLJ21415	ENSG00000111412	Chromosome 12 open reading frame 49	Q9H741	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C15orf61	LOC145853	ENSG00000189227	Chromosome 15 open reading frame 61	A6NNL5	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C16orf89	MGC45438	ENSG00000153446	Chromosome 16 open reading frame 89	Q6UX73	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C17orf67		ENSG00000214226	Chromosome 17 open reading frame 67	Q0P5P2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C17orf99	GLPG464, UNQ464	ENSG00000187997	Chromosome 17 open reading frame 99	Q6UX52	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C18orf54	LAS2, MGC33382	ENSG00000166845	Chromosome 18 open reading frame 54	Q8IYD9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1orf56	FLJ20519, MENT	ENSG00000143443	Chromosome 1 open reading frame 56	Q9BUN1	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
C1QA		ENSG00000173372	Complement C1q A chain	P02745	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QB		ENSG00000173369	Complement C1q B chain	P02746	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QC	C1QG	ENSG00000159189	Complement C1q C chain	P02747	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QL1	C1QRF, C1QTNF14, CRF	ENSG00000131094	Complement C1q like 1	O75973	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QL2	C1QTNF10, CTRP10	ENSG00000144119	Complement C1q like 2	Q7Z5L3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C1QL3	C1ql, C1QTNF13, CTRP13, K100	ENSG00000165985	Complement C1q like 3	Q5VWW1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C1QL4	C1QTNF11, CTRP11	ENSG00000186897	Complement C1q like 4	Q86Z23	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C1QTNF1	CTRP1, FLJ90694, GIP, ZSIG37	ENSG00000173918	C1q and TNF related 1	Q9BXJ1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QTNF12	ADIPOLIN, C1QDC2, CTRP12, FAM132A, MGC105127	ENSG00000184163	C1q and TNF related 12	Q5T7M4	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QTNF2	CTRP2	ENSG00000145861	C1q and TNF related 2	Q9BXJ5	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QTNF3	2310005P21Rik, Corcs, Cors, Cors-26, CTRP3	ENSG00000082196	C1q and TNF related 3	Q9BXJ4	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QTNF4	CTRP4, ZACRP4	ENSG00000172247	C1q and TNF related 4	Q9BXJ3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QTNF5	CTRP5, DKFZp586B0621, LORD	ENSG00000223953	C1q and TNF related 5	Q9BXJ0	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QTNF6	CTRP6, ZACRP6	ENSG00000133466	C1q and TNF related 6	Q9BXI9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QTNF7	CTRP7	ENSG00000163145	C1q and TNF related 7	Q9BXJ2	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
C1QTNF8	CTRP8, UNQ5829	ENSG00000184471	C1q and TNF related 8	P60827	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1QTNF9	AQL1, C1QTNF9A, CTRP9, MGC48915	ENSG00000240654	C1q and TNF related 9	P0C862	Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1QTNF9B	CTRP9B	ENSG00000205863	C1q and TNF related 9B	B2RNN3	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1R		ENSG00000159403	Complement C1r	P00736	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C1RL	C1r-LP, C1RL1	ENSG00000139178	Complement C1r subcomponent like	Q9NZP8	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C1S		ENSG00000182326	Complement C1s	P09871	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C2		ENSG00000166278	Complement C2	P06681	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C21orf62	B37, C21orf120, PRED81	ENSG00000205929	Chromosome 21 open reading frame 62	Q9NYP8	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
C22orf15	FLJ36561, N27C7-3	ENSG00000169314	Chromosome 22 open reading frame 15	Q8WYQ4	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C22orf46	CTA-216E10.6, FLJ23584	ENSG00000184208	Chromosome 22 open reading frame 46	C9J442	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
C2orf40	augurin, ECRG4	ENSG00000119147	Chromosome 2 open reading frame 40	Q9H1Z8	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
C2orf66	UNQ6411	ENSG00000187944	Chromosome 2 open reading frame 66	Q6UXQ4	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
C2orf69	FLJ38973	ENSG00000178074	Chromosome 2 open reading frame 69	Q8N8R5	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C3	ARMD9, C3a, C3b, CPAMD1	ENSG00000125730	Complement C3	P01024	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C3orf33	AC3-33, FLJ31139	ENSG00000174928	Chromosome 3 open reading frame 33	Q6P1S2	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C3orf58	DIA1, HASF, MGC33365	ENSG00000181744	Chromosome 3 open reading frame 58	Q8NDZ4	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C4A	C4, C4A2, C4A3, C4A4, C4A6, C4B, C4S, CO4, CPAMD2, RG	ENSG00000244731	Complement C4A (Rodgers blood group)	P0C0L4	Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C4B	C4B1, C4B3, C4F, CH, CO4, CPAMD3	ENSG00000224389	Complement C4B (Chido blood group)	P0C0L5	Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C4BPA	C4BP	ENSG00000123838	Complement component 4 binding protein alpha	P04003	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C4BPB	C4BP	ENSG00000123843	Complement component 4 binding protein beta	P20851	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
C4orf48		ENSG00000243449	Chromosome 4 open reading frame 48	Q5BLP8	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
C5	C5a, C5b, CPAMD4	ENSG00000106804	Complement C5	P01031	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
